config_id,dataset,imbalance_method,method_family,classifier,minority_ratio,seed,precision,recall,f1,mcc,balanced_accuracy,accuracy,roc_auc,pr_auc,tn,fp,fn,tp,cv_best_score,best_params,runtime_sec,train_size,test_size,train_phishing,test_phishing,train_phishing_pct,test_phishing_pct
hannousse__random_undersampling__svm__r10__s42,hannousse,random_undersampling,Data-level (resampling),svm,0.1,42,0.6217616580310881,0.9448818897637795,0.7499999999999999,0.7362439002206382,0.9405074365704287,0.937007874015748,0.983687078485268,0.8564513721009516,1070,73,7,120,0.7405,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",1.3,5080,1270,508,127,10.0,10.0
hannousse__smote__decision_tree__r10__s42,hannousse,smote,Data-level (synthetic),decision_tree,0.1,42,0.7443609022556391,0.7795275590551181,0.7615384615384616,0.734604381564221,0.8748906386701663,0.9511811023622048,0.8973105723989225,0.6398624245371811,1109,34,28,99,0.7974,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 10}",3.4,5080,1270,508,127,10.0,10.0
hannousse__smote__random_forest__r10__s42,hannousse,smote,Data-level (synthetic),random_forest,0.1,42,0.8846153846153846,0.905511811023622,0.8949416342412451,0.8831913668924228,0.9461942257217848,0.978740157480315,0.9913957605692989,0.9475879912385878,1128,15,12,115,0.8872,"{""max_depth"": null, ""max_features"": ""log2"", ""n_estimators"": 300}",22.1,5080,1270,508,127,10.0,10.0
hannousse__smote__svm__r10__s42,hannousse,smote,Data-level (synthetic),svm,0.1,42,0.7631578947368421,0.9133858267716536,0.8315412186379928,0.8150731400971012,0.9409448818897638,0.962992125984252,0.9858019716039432,0.8751273756236289,1107,36,11,116,0.8335,"{""C"": 1, ""gamma"": 0.01, ""kernel"": ""rbf""}",6.2,5080,1270,508,127,10.0,10.0
hannousse__adasyn__decision_tree__r10__s42,hannousse,adasyn,Data-level (synthetic),decision_tree,0.1,42,0.7898550724637681,0.8582677165354331,0.8226415094339623,0.8028842472200743,0.9164479440069991,0.962992125984252,0.9247456272690323,0.719830060258872,1114,29,18,109,0.7975,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_split"": 2}",3.9,5080,1270,508,127,10.0,10.0
hannousse__adasyn__random_forest__r10__s42,hannousse,adasyn,Data-level (synthetic),random_forest,0.1,42,0.8769230769230769,0.8976377952755905,0.8871595330739299,0.8745326280013207,0.9418197725284339,0.9771653543307086,0.9904657587092952,0.9459612901417658,1127,16,13,114,0.8881,"{""max_depth"": 20, ""max_features"": ""log2"", ""n_estimators"": 300}",23.2,5080,1270,508,127,10.0,10.0
hannousse__adasyn__svm__r10__s42,hannousse,adasyn,Data-level (synthetic),svm,0.1,42,0.8264462809917356,0.7874015748031497,0.8064516129032258,0.7858052406371927,0.8845144356955381,0.9622047244094488,0.9846308581506051,0.8738845094759721,1122,21,27,100,0.8215,"{""C"": 10, ""gamma"": 0.01, ""kernel"": ""rbf""}",6.1,5080,1270,508,127,10.0,10.0
hannousse__smoteenn__decision_tree__r10__s42,hannousse,smoteenn,Hybrid,decision_tree,0.1,42,0.7,0.8818897637795275,0.7804878048780488,0.7593263966019993,0.9199475065616798,0.9503937007874016,0.9303359717830547,0.677298083174284,1095,48,15,112,0.7871,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 10}",8.4,5080,1270,508,127,10.0,10.0
hannousse__smoteenn__random_forest__r10__s42,hannousse,smoteenn,Hybrid,random_forest,0.1,42,0.8273381294964028,0.905511811023622,0.8646616541353382,0.84994573367505,0.9422572178477691,0.9716535433070866,0.9891809783619567,0.9343179120363485,1119,24,12,115,0.8722,"{""max_depth"": null, ""max_features"": ""log2"", ""n_estimators"": 100}",23.2,5080,1270,508,127,10.0,10.0
hannousse__smoteenn__svm__r10__s42,hannousse,smoteenn,Hybrid,svm,0.1,42,0.7354838709677419,0.8976377952755905,0.8085106382978722,0.7897901135246321,0.9308836395450568,0.9574803149606299,0.9831772996879327,0.8660124749477157,1102,41,13,114,0.8147,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",6.5,5080,1270,508,127,10.0,10.0
