feature,mean_abs_shap,mean_shap,rank,imbalance_method
qty_nameservers,0.0054084608963218305,-0.0021882007282448815,43,random_undersampling
qty_asterisk_file,0.005037999261694488,-0.00020823911877033827,44,random_undersampling
qty_redirects,0.004474987128740899,-0.0003234419418334445,45,random_undersampling
tls_ssl_certificate,0.004309292409311058,-0.0009675173479649483,46,random_undersampling
qty_plus_file,0.003763736349392163,-0.0002802946741240615,47,random_undersampling
qty_hyphen_domain,0.003613271625481443,0.00011196479804930942,48,random_undersampling
domain_spf,0.003433969446687058,-0.0010475026514075556,49,random_undersampling
params_length,0.0031337025442284834,-0.0004943618014367696,50,random_undersampling
qty_tilde_file,0.0029459357463921874,-3.9044867382946624e-05,51,random_undersampling
qty_plus_params,0.0015374035872784072,0.0002437628246814582,52,random_undersampling
tld_present_params,0.0014671426320545114,0.000507939610088399,53,random_undersampling
qty_dot_params,0.0013250700456986309,6.489016041347093e-06,54,random_undersampling
qty_tld_url,0.0013002429351011366,-0.00040811711377010737,55,random_undersampling
qty_percent_params,0.001244640255865821,0.0006507041451655959,56,random_undersampling
qty_questionmark_params,0.0011984998385375831,0.0004277006271533514,57,random_undersampling
qty_slash_params,0.0011459655251381384,0.0006738562867334474,58,random_undersampling
qty_and_params,0.0011447996527110724,0.00024723445028301735,59,random_undersampling
qty_equal_params,0.0011327710146461418,0.00032327396783544233,60,random_undersampling
qty_asterisk_params,0.001095566742034016,0.00022349880497641865,61,random_undersampling
qty_comma_params,0.0010831941041900143,0.00027513197566032165,62,random_undersampling
qty_space_params,0.001083082536574728,0.00035427974358044964,63,random_undersampling
qty_underline_params,0.0010200959376979513,0.0001110380038615365,64,random_undersampling
qty_at_params,0.0009557783183569271,0.0001948235009829031,65,random_undersampling
qty_exclamation_params,0.0009452167001646052,0.000306147211787256,66,random_undersampling
qty_equal_url,0.0008918731527551741,5.828684783591936e-05,67,random_undersampling
url_shortened,0.0008560346673161806,-0.0003626250136745083,68,random_undersampling
qty_tilde_params,0.0008542407413809835,0.00036683754768998344,69,random_undersampling
qty_params,0.0007485129512946397,4.867301286406823e-05,70,random_undersampling
qty_dollar_params,0.0007379732339398931,0.00015419486546384062,71,random_undersampling
qty_hyphen_params,0.0006742488043764617,0.0001466644197636792,72,random_undersampling
qty_underline_url,0.0006158317145551797,-0.000346538560921521,73,random_undersampling
qty_percent_url,0.0003395683162825402,-4.4199244513217055e-05,74,random_undersampling
qty_and_url,0.0001854727895006133,-7.578277973243168e-05,75,random_undersampling
domain_in_ip,0.00013516211117361323,-0.00013516211117361323,76,random_undersampling
qty_at_url,0.00012525110776458978,-0.00010125564527337665,77,random_undersampling
qty_exclamation_url,8.722807342827694e-05,-5.1534330252923436e-05,78,random_undersampling
domain_google_index,7.601233075602781e-05,-5.307617415495623e-05,79,random_undersampling
email_in_url,6.523256136904093e-05,-5.169384670549919e-05,80,random_undersampling
url_google_index,6.386771814415927e-05,-1.0016196019816822e-05,81,random_undersampling
qty_plus_url,5.02482741856203e-05,5.02482741856203e-05,82,random_undersampling
qty_questionmark_url,3.221127783678895e-05,-3.221127783678895e-05,83,random_undersampling
qty_comma_url,2.065933270523872e-05,2.065933270523872e-05,84,random_undersampling
qty_tilde_url,1.8177827996184758e-05,4.909470668546244e-06,85,random_undersampling
server_client_domain,1.7028883308223993e-05,1.5883643591876126e-05,86,random_undersampling
qty_dollar_url,1.3634321676627413e-05,-1.3634321676627413e-05,87,random_undersampling
qty_asterisk_url,7.2066879894797945e-06,-7.2066879894797945e-06,88,random_undersampling
qty_underline_domain,4.117548070412595e-06,-1.4845475662034693e-06,89,random_undersampling
qty_at_domain,1.897923946993865e-06,-1.897923946993865e-06,90,random_undersampling
qty_space_url,1.4302368641781244e-06,-1.4302368641781244e-06,91,random_undersampling
qty_hashtag_url,4.392441699412446e-08,-4.392441699412446e-08,92,random_undersampling
